Date,RegionName,AreaCode,AveragePrice,Index,IndexSA,1m%Change,12m%Change,AveragePriceSA,SalesVolume,DetachedPrice,DetachedIndex,Detached1m%Change,Detached12m%Change,SemiDetachedPrice,SemiDetachedIndex,SemiDetached1m%Change,SemiDetached12m%Change,TerracedPrice,TerracedIndex,Terraced1m%Change,Terraced12m%Change,FlatPrice,FlatIndex,Flat1m%Change,Flat12m%Change,CashPrice,CashIndex,Cash1m%Change,Cash12m%Change,CashSalesVolume,MortgagePrice,MortgageIndex,Mortgage1m%Change,Mortgage12m%Change,MortgageSalesVolume,FTBPrice,FTBIndex,FTB1m%Change,FTB12m%Change,FOOPrice,FOOIndex,FOO1m%Change,FOO12m%Change,NewPrice,NewIndex,New1m%Change,New12m%Change,NewSalesVolume,OldPrice,OldIndex,Old1m%Change,Old12m%Change,OldSalesVolume
01/07/1997,Isle of Wight,E06000046,47587,17.6,,0.3,9.5,,390,76287,17.8,0.6,11,50025,17,0.2,9.8,37936,16.7,0.3,9.1,31228,19.7,-0.4,6.2,,,,,,,,,,,,,,,,,,,55432,17.6,-0.7,6.9,28,47483,17.6,0.3,9.7,362
01/08/1997,Isle of Wight,E06000046,48664,18,,2.3,11.6,,335,78315,18.3,2.7,13,51132,17.4,2.2,11.9,38709,17.1,2,11.3,31806,20.1,1.8,8.4,,,,,,,,,,,,,,,,,,,56376,17.9,1.7,8.3,28,48582,18,2.3,11.8,307
01/09/1997,Isle of Wight,E06000046,49491,18.3,,1.7,12.3,,356,79619,18.6,1.7,13.2,52024,17.7,1.7,12.7,39363,17.3,1.7,12,32353,20.5,1.7,9.9,,,,,,,,,,,,,,,,,,,57349,18.2,1.7,9.9,34,49407,18.3,1.7,12.5,322
01/10/1997,Isle of Wight,E06000046,50330,18.7,,1.7,15.8,,359,81078,18.9,1.8,16.6,52892,17.9,1.7,16.3,39934,17.6,1.5,15.6,32934,20.8,1.8,13.8,,,,,,,,,,,,,,,,,,,58373,18.5,1.8,13.6,23,50241,18.7,1.7,16,336
01/11/1997,Isle of Wight,E06000046,50891,18.9,,1.1,17.7,,311,82034,19.2,1.2,18.8,53466,18.1,1.1,18.1,40334,17.8,1,17.3,33324,21.1,1.2,15.4,,,,,,,,,,,,,,,,,,,59132,18.7,1.3,15.6,23,50792,18.9,1.1,17.9,288
01/12/1997,Isle of Wight,E06000046,51445,19.1,,1.1,17.7,,312,83000,19.4,1.2,19,54100,18.4,1.2,17.9,40700,17.9,0.9,17.1,33656,21.3,1,15.4,,,,,,,,,,,,,,,,,,,59976,19,1.4,15.9,32,51328,19.1,1.1,17.8,280
01/01/1998,Isle of Wight,E06000046,50836,18.8,,-1.2,13.5,,205,82096,19.2,-1.1,15,53399,18.1,-1.3,13.6,40238,17.7,-1.1,12.8,33232,21,-1.3,11.3,,,,,,,,,,,,,,,,,,,59678,18.9,-0.5,13.1,12,50688,18.8,-1.2,13.5,193
01/02/1998,Isle of Wight,E06000046,50463,18.7,,-0.7,13.2,,239,81210,19,-1.1,14,53012,18,-0.7,13.4,39931,17.6,-0.8,12.7,33202,21,-0.1,11.7,,,,,,,,,,,,,,,,,,,59971,19,0.5,14,16,50265,18.7,-0.8,13.1,223
01/03/1998,Isle of Wight,E06000046,50174,18.6,,-0.6,12.9,,282,80609,18.8,-0.7,13.5,52716,17.9,-0.6,13.4,39799,17.5,-0.3,12.6,32992,20.9,-0.6,11.1,,,,,,,,,,,,,,,,,,,59905,19,-0.1,13.7,19,49959,18.6,-0.6,12.9,263
01/04/1998,Isle of Wight,E06000046,51661,19.1,,3,13.1,,318,82829,19.3,2.8,13.7,54432,18.5,3.3,13.7,41003,18.1,3,12.8,33916,21.4,2.8,11.1,,,,,,,,,,,,,,,,,,,61632,19.5,2.9,13.3,30,51442,19.1,3,13.1,288
